name,text
Dollar Tree,"California Transparency in Supply Chains Act of 2010 (SB 657)
The California Transparency in Supply Chains Act of 2010 (SB 657) calls for
retailers and manufacturers to provide consumers with information regarding
their efforts in preventing slavery and human trafficking in their supply chains. To
this end, Dollar Tree, Inc., including its subsidiaries (collectively “Dollar Tree”),
provides the following information with regards to its position and efforts in
preventing slavery and human trafficking in its supply chain.
Dollar Tree maintains high expectations that its supply chain has the same
dedication as Dollar Tree to conducting business in a legal and ethical manner,
which includes prevention of human trafficking and slavery. Dollar Tree has no
tolerance for human trafficking and slavery in its supply chain.
To ensure Dollar Tree’s supply chain shares its beliefs and meets the company’s
expectations, the company internally evaluates potential risks by assessing its
supply chain with governmental and non-governmental resources on slavery and
human trafficking. Dollar Tree associates are alerted to look for indications of
human trafficking and slavery while visiting the factories of the company’s
suppliers. Dollar Tree also requires its suppliers to annually respond to surveys
regarding their efforts in preventing human trafficking and slavery. Further,
Dollar Tree contractually requires all of its suppliers to comply with applicable
labor laws and specifically requires in its Operating Guidelines for suppliers “to
not work with or arrange for purchase . . . any materials from business partners
who utilize prison or forced labor in any stage of the manufacture of our
products.” Failure to comply with Dollar Tree’s requirements will result in action,
including the severing of Dollar Tree’s business relationship. Dollar Tree also
holds its own associates to the same requirements of due diligence and failure to
meet these requirements will result in disciplinary action, including termination of
employment. Finally, to further ensure Dollar Tree’s associates and supply chain
meet the company’s expectations, Dollar Tree is requiring all associates with
direct responsibility for supply chain management be trained on the issue of
human trafficking and slavery.
Dollar Tree is committed to ensuring its supply chain does not participate in
human trafficking and slavery.
"
Alcoa Inc.," 
Children and Young Workers
 
Freedom of Engagement
We believe that people should work because they want or need to, not because they are forced to do so. We prohibit the use of prison labor, forcibly indentured labor, bonded labor, slavery, or servitude.
Equality of Opportunity
We recognize, respect, and embrace the cultural differences found in the worldwide marketplace. Our workplace is a meritocracy where our goal is to attract, develop, promote, and retain the best people from all cultures and segments of the population, based on ability. We have zero tolerance for discrimination or harassment of any kind.
Compensation
We ensure that compensation meets or exceeds the legal minimums and is competitive with industry standards. Our compensation philosophy is clearly communicated to employees and is in full compliance with all applicable laws.
Freedom of Association
We recognize and respect the freedom of individual Alcoans to join, or refrain from joining, legally authorized associations or organizations.
Relationships with Indigenous People
 
 
 
 
 
 
 
 
 
 
 
 
Creating a communication and grievance mechanism to ensure community and individual concerns are adequately addressed;
Having a code of conduct for employees and contractors that outlines behavior that is prohibited during and outside of work;
Providing cultural sensitivity training for our employees;
Having a zero alcohol/drug use policy at work;
 
 
 
 
 
 
 
 
Slavery and Human Trafficking 
 
 
 
 
 
 
 
 
"
"Harris Freeman & Co., Inc.","California Transparency in Supply Chains Act
It has always been important that materials used by Harris Freeman in our products are obtained through ethical and fair labor conditions. In general, Harris Freeman's agricultural products are acquired from suppliers who ultimately source raw materials from small individual farms managed by family farmers. In all countries where we process products, our products are processed in facilities that comply with existing local laws. In our processing facilities, employees are provided with fair wages, regular working hours, and a clean working environment.
Harris Freeman's Supplier Code of Conduct makes clear our commitment to fair labor standards and helps ensure that we align ourselves with suppliers that share this commitment. This Code of Conduct states that all vendors, suppliers and contractors who wish to conduct business with Harris Freeman are required to conform to certain principles and practices, such as the following:
• Compliance with applicable laws, including those pertinent to equal employment opportunities, wages and benefits, and worker and product safety.
• Fair employment practices, including those prohibiting child labor, prison or forced labor, or any form of indentured servitude with stipulations of fair working hours and compensation as well for a safe working environment.
• Ethical business conduct based on compliance with the law, avoidance of conflicts of interest, and respect for the environment.
We seek to ensure that quality, safety and employment standards are maintained throughout our supply chain.
Our efforts so far in aligning with the Act's requirements include the following:
Verification and audit of product supply chains
Harris Freeman conducts annual assessment of its food sourcing suppliers to ensure our product suppliers are in compliance with our Code of Conduct.
Contracting Practices
Harris Freeman's Supplier Code of Conduct is designed to be embedded into our procurement practices (and thereby help assure such procurement is free from slavery and human trafficking) by:
• Including references to the Code of Conduct in major request for quotations;
• Incorporating language in all supply agreements and contracts requiring suppliers to warrant compliance with the Code of Conduct and acknowledge that any known violation may result in immediate termination of any and all business;
• Requiring acknowledgment of the Code of Conduct as part of an all new suppliers onboarding process; and
• Issuing the latest Code of Conduct to our current supplier community and allowing access to a website that uploads any revisions in the future.
Internal accountability and staff training
It is the Company's policy to be a good ""corporate citizen”. Wherever we do business, our employees are required to comply with all applicable laws. As well, a training program is being developed that will provide appropriate employees with training on how to mitigate the risk of human trafficking and slavery.
Harris Freeman & Co. Inc.
3110 E. Miraloma Ave.
"
Therma-Tru Corp.,"A Responsible Approach to Business
We have high standards for our associates, suppliers and products in all the places where we do business.
Ethical Conduct
More than 30 percent of our 20,000+ person workforce is global. Our business ethics apply to our workplaces throughout the world, and are reflected in Fortune Brands’ Code of Business Conduct and Ethics and other company policies.
Safe and Respectful Workplace
Our associates are our greatest asset. Keeping them safe, treating them with dignity and respect and giving them a workplace where they can thrive are essential to winning in the marketplace. We're committed to developing systems that drive safe work practices. 
We work hard to ensure that our suppliers and contractors adhere to the same strict standards we have for the respect of human rights, workplace safety and protection of the environment.
Environmental stewardship
Fortune Brands believes the protection of our natural resources is important to our business. We’re committed to environmental stewardship and sustainable initiatives to reduce waste and energy use. See our EHS Principles  [PDF 127KB]. We have a number of sustainability efforts and success stories across our Company that represent how we manage energy use and waste disposal.
Responsible Products
We believe that part of being a good corporate citizen means creating high-quality products that help consumers use fewer natural resources.
Fortunate Giving:  Building our communities
Our Company has a strong heritage of giving back. In 2015, we contributed approximately $1.5 million to our communities. Through our Fortunate Giving program, we support organizations that align with our business goals, our associates' passions and the communities where they live and work in the areas of education, the environment and housing. 
"
"Robinson Helicopter Company, Inc. ","CA Supply Chain Disclosure
Transparency in Supply Chain Disclosure
Robinson Helicopter Company, Inc., a California manufacturer, produces and procures almost all
of the parts and components that go into our helicopters in the United States. We are strongly
opposed to the use of forced, bonded, involuntary, prison or indentured labor. We have begun to
undertake an evaluation of our supply chain to assess various compliance risks, including those
related to slavery and human trafficking. Under the California Transparency in Supply Chains
Act of 2010 we are required to disclose that:
        While we do not currently verify, audit or require our suppliers certify that their products
        or services comply with local laws regarding slavery and human trafficking, we will
        continue to assess our supply chain for areas of improvement in eradicating slavery and
        human trafficking, and will continue to expect our suppliers and employees to do the
        same.
        We do not currently maintain internal accountability standards and procedures for
        suppliers or contractors failing to meet company standards regarding slavery and human
        trafficking, however, we will seek ways to eliminate or mitigate these elements from our
        supply chain;
        We are working on a training program for company employees and management who
        have direct responsibility for supply chain management regarding human trafficking and
        slavery to find areas of improvement in eradicating slavery and human trafficking, and
        will expect our suppliers to do the same.
14 April 2015
"
Manchester Tank & Equipment Co.,"TRANSPARENCY IN SUPPLY CHAINS ACT DISCLOSURE
In 2012, California adopted the Transparency in Supply Chains Act requiring businesses to
disclose their efforts to combat slavery and human trafficking. McWane, Inc. has long been
aware that there are businesses throughout the world that engage in slavery and human
trafficking as a means of competing with those who operate in a humane manner and within
the law. McWane has been and continues to be committed to taking steps to ensure that it
does not do business with suppliers involved in such illegal and immoral activities.
McWane utilizes the services of eCustoms through its Visual Compliance program to screen
potential suppliers to confirm they are not on government denied party or restricted party lists.
The screening includes identification of those known to be engaging in human trafficking. This
program regularly and automatically re-screens those suppliers with whom the company is
currently doing business to ensure that these suppliers continue to operate lawfully and
ethically. In addition, the standard terms and conditions in a McWane purchase order issued to
a supplier include a requirement that McWane's suppliers as well as their material or
component suppliers comply with applicable laws concerning human trafficking and slavery.
Each supplier is required to acknowledge acceptance of the terms and conditions as a
prerequisite to issuance of a purchase order by McWane.
McWane does not currently conduct regular on-site audits of it suppliers to confirm that they
are not in violation of laws regarding slavery or human trafficking. McWane has made those in
each of its subsidiaries and divisions who are responsible for dealing with suppliers aware of the
need to ensure that the company does not engage in business with those who violate these
laws or are involved in other unethical business practices. While McWane has no specific
internal standards or procedures for dealing with its employees or contractors who fail to
perform properly with respect to issues relating to slavery and human trafficking, the company
will investigate any reported incidents of non-compliance and deal appropriately and decisively
in the event non-compliance is verified.
"
Outerwall Inc.,"in Supply Chains Act of 2010
In May 2014, Outerwall adopted a Supplier Code of Conduct .                      The Code applies to individuals and companies that supply goods and services to Outerwall and its subsidiaries.
Our Supplier Code of Conduct specifies that suppliers must ensure compliance with all applicable federal and local laws and regulations.                      The Supplier Code of Conduct includes requirements for compliance with all local and national minimum working age laws and forbids the use of child labor.                      Additionally, it stipulates that suppliers should pay at least the legally required minimum wage and provide all legally mandated benefits relevant to where                      the work is performed. Suppliers are required to abide by the maximum legally allowed number of working hours, using only voluntary labor.
Verification
Any new or renewed supplier contracts from May 2014 onward include a provision requiring compliance with the Code. Our corporate Supply Chain Management team maintains                      contracts with our largest and most critical suppliers as part of Outerwall's Strategic Supplier Program. These suppliers represent about 50% of our applicable spend and certify, annually, to adherence to Outerwall's Supplier Code of Conduct.
Audits
We conduct audits of our Strategic Suppliers on a case by case basis depending on their risk profile.
Certifications
Because key suppliers are required to sign contracts which specify they will adhere to our Supplier Code of Conduct,                      these companies have certified that they are and will continue to be in compliance with our requirements.
Accountability
If Outerwall determines during an audit or another means that a supplier does not conform to Outerwall's standards,                      a determination regarding corrective action and/or whether to continue Outerwall's relationship with the supplier will be made on a case-by-case basis.
Training
We have educated our Supply Chain Management team on our Supplier Code of Conduct and discuss labor law requirements in connection to our strategic sourcing initiatives.                      We do not currently provide specific training on slavery or human trafficking.
Get in Touch
"
Georgia-Pacific Corrugated III LLC,"Verification
At Georgia-Pacific, we recognize the critical role we play in making products that improve lives and offer better solutions than other alternatives. Doing so sustainably requires that we balance the social, environmental and economic benefits and risks of our products, including how they are sourced, manufactured and used. Suppliers play a key role in our efforts to ensure that we manage our global supply chain in a sustainable way.
Direct Supplier Certification
Georgia-Pacific's commitment to ensuring that its supply chain is maintained in a socially responsible way includes, an expectation that suppliers not use forced labor in any of its forms, including human trafficking and slavery, to produce the products they provide to Georgia-Pacific.  These expectations are set out in the Georgia-Pacific Code of Conduct and the  Georgia-Pacific Supplier Sustainability Guidelines.   In addition, contracts with our suppliers obligate them to produce the products that we buy in a way that complies with applicable laws and regulations; at this time, however, Georgia-Pacific does not require suppliers to certify that they are in compliance.
Supplier Audits and Accountability Standards
To monitor compliance with the expectations of the Georgia-Pacific Supplier Sustainability Guidelines, Georgia-Pacific itself, instead of a third party vendor, assesses a number of its more than 30,000 suppliers. On an annual basis, suppliers are selected using a risk-based approach; supplier participation in this process is mandatory.
The three-stage assessment process includes a review of supplier responses to a detailed request for information. If during this review, Georgia-Pacific identifies any concerns or supplier responses require clarification, the supplier is moved into stage two, which includes a conference call or other meeting with that supplier to address the concern or clarification. If the issue cannot be resolved at this stage, the supplier is moved to stage three, which may include a supplier site audit. Depending on the nature of the concerns involved, these site audits may be unannounced. Failure to meet the Georgia-Pacific Supplier Sustainability Guidelines may result in discontinuation of the supplier relationship.
Training on Human Trafficking and Slavery
Since implementing this assessment process, Georgia-Pacific has educated its procurement organization and others in the organization on this process and the Supplier Sustainability Guidelines. Further educational efforts regarding these expectations may include face-to-face meetings, web-based seminars and computer-based training, and will focus on how employees can assist Georgia-Pacific in mitigating risks within its supply chain.
"
"HM Electronics, Inc.","The California Transparency in Supply Chains Act – Disclosures
It is our policy to ensure that our supply chain reflects our values and respect for human rights.
Accordingly, we take the following steps to confront slavery and human trafficking in our direct
supply chains:
     1. Verifications
We conduct assessments of our product suppliers to verify that they are not at risk for violating
anti-slavery and human trafficking laws. We do not use third-party verifiers. Our own materials
management team spearheads the verification process using an internally developed assessment.
We are currently unable to verify whether our subcontractors use labor brokers.
     2. Supplier Audits
Our internal materials management team reserves the right to conduct announced audits of our
direct suppliers to evaluate their compliance with our anti-slavery and human trafficking
company standards. Audits consist of individual and group interviews with supervisors and
management, as well as exhaustive facility tours.
     3. Certification
We require our direct suppliers to certify that they comply with anti-slavery and human
trafficking laws in the country or countries in which they do business.
     4. Accountability
In 2012, we developed internal accountability standards and procedures for employees and
contractors failing to meet our company standards regarding slavery and trafficking. If and when
our company uncovers employee or contractor compliance problems, we provide written notice
and a specified period of time to take corrective action.
     5. Training
Employees who are responsible for materials management are trained on the importance of
making sure our suppliers are not engaged in violations of the company’s policies prohibiting
forced labor, slavery and human trafficking. Our company does not provide contractors with
training on human trafficking and slavery.
"
The Colgate-Palmolive Company,"                         State of California Disclosure: Supply Chain Transparency
Beginning in 2012, large manufacturers and retailers doing business in California are required under the
California Transparency in Supply Chains Act of 2010 (SB 657) to disclose efforts that they have taken to
eliminate human trafficking and slavery from their supply chains. The purpose of this law is to make more
information available so that consumers are better enabled to make informed decisions about the
products they purchase and the companies they choose to support.
Colgate-Palmolive Company has a policy that strictly prohibits all forced servitude and child labor
practices and has taken important steps over the years to ensure the integrity of its supply chains and the
Company at large. The following is an overview of the Company’s programs in this area:
        Supplier Assessment and Audit Process: In the first quarter of 2012, the Company is rolling
         out on a global basis a comprehensive Supplier Responsible Sourcing Assessment process that
         will be conducted with both existing suppliers and new suppliers. This program augments the
         Company’s preexisting supplier audit program in significant respects, including its focus on four
         critical areas: labor standards, health & safety, environmental management, and business
         integrity. This risk-management-based program includes identification of risks in the supply chain,
         self-assessment by suppliers against established standards, third party audits of suppliers’
         facilities against established standards, and a remediation procedure for resolution of identified
         noncompliance with the standards. The remediation process includes supplier corrective action
         plans and follow-up activities. The program’s objective is to ensure that Colgate’s responsible
         sourcing standards, as described in the Company’s Supplier Code of Conduct (discussed further
         below), are being followed in practice by Colgate’s suppliers. A very significant portion of the
         assessment process is the evaluation of labor practices, including ensuring that no illegal child
         labor or forced servitude practices are present.
        Supplier Adherence to Applicable Laws and Colgate’s Code of Conduct: Under Colgate’s
         contracts with suppliers, suppliers are required to comply with all applicable federal, state, local,
         and municipal laws and regulations, including all applicable labor and other workplace laws and
         regulations. Further, Colgate’s contracts bind suppliers to adhere to the Company’s Supplier
         Code of Conduct, which requires suppliers to abide by the Company’s policy prohibiting the use
         of illegal child labor, involuntary servitude, exploitation of children, and all other forms of abusive
         or exploitative labor practices. The Supplier Code of Conduct, which is modeled on the
         International Labor Organization (ILO) standards, further states the Company’s policy against
         working with any supplier that is known to operate with unacceptable worker treatment, such as
         physical punishment, female abuse, involuntary servitude or other forms of abuse, and obligates
         suppliers to take appropriate steps to ensure that they do not engage in any of these practices. It
         is Colgate’s policy that violation of these principles is grounds for termination of any business
         relationship.
        Accountability: Like the Supplier Code of Conduct discussed above, the Company’s Code of
         Conduct reflects the Company’s prohibition on exploitative labor practices and binds employees
         to these requirements. Violation of the Code of Conduct may lead to disciplinary action up to and
         including termination.
        Training: Colgate requires 100% of employees to complete training on the Company’s Code of
         Conduct and to acknowledge compliance with the Code. The 2012 training cycle will address the
         Company’s policies against exploitative labor practices.
"
