cluster,token_stem,count_per_doc,count_of_docs,tfidf
1,abid,4,3,0.02252131137088604
1,abil,3,4,0.007378474912587951
1,abl,3,1,0.05321774790408976
1,abus,3,3,0.01689098352816453
1,accept,4,3,0.02252131137088604
1,access,8,3,0.04504262274177208
1,accord,4,3,0.02252131137088604
1,accordingli,1,3,0.00563032784272151
1,account,14,4,0.03443288292541044
1,accur,1,2,0.010099370469446286
1,achiev,4,1,0.07095699720545301
1,acknowledg,1,3,0.00563032784272151
1,acquir,1,2,0.010099370469446286
1,acquisit,2,1,0.035478498602726505
1,across,5,3,0.028151639213607547
1,act,14,4,0.03443288292541044
1,action,9,3,0.05067295058449359
1,activ,9,3,0.05067295058449359
1,ad,2,4,0.004918983275058634
1,add,3,1,0.05321774790408976
1,addit,10,4,0.024594916375293166
1,addition,4,3,0.02252131137088604
1,address,11,4,0.027054408012822485
1,adequ,2,3,0.01126065568544302
1,adher,7,5,0.0
1,administr,4,1,0.07095699720545301
1,adopt,4,3,0.02252131137088604
1,advanc,5,3,0.028151639213607547
1,advantag,1,2,0.010099370469446286
1,advers,1,2,0.010099370469446286
1,advertis,3,2,0.030298111408338855
1,advis,1,2,0.010099370469446286
1,affect,3,1,0.05321774790408976
1,affili,4,2,0.04039748187778514
1,afford,2,1,0.035478498602726505
1,aftermarket,1,2,0.010099370469446286
1,ag,3,3,0.01689098352816453
1,agenc,3,2,0.030298111408338855
1,agent,1,3,0.00563032784272151
1,agre,4,3,0.02252131137088604
1,agreement,3,3,0.01689098352816453
1,agricultur,1,2,0.010099370469446286
1,aid,2,2,0.02019874093889257
1,aim,2,2,0.02019874093889257
1,alert,1,2,0.010099370469446286
1,align,3,3,0.01689098352816453
1,allow,4,3,0.02252131137088604
1,along,1,2,0.010099370469446286
1,also,12,3,0.06756393411265812
1,altern,3,2,0.030298111408338855
1,although,1,2,0.010099370469446286
1,alwai,4,2,0.04039748187778514
1,america,2,2,0.02019874093889257
1,american,1,2,0.010099370469446286
1,among,8,3,0.04504262274177208
1,amount,4,4,0.009837966550117268
1,announc,4,4,0.009837966550117268
1,annual,8,3,0.04504262274177208
1,anonym,1,3,0.00563032784272151
1,answer,1,2,0.010099370469446286
1,anti,2,4,0.004918983275058634
1,anyon,2,2,0.02019874093889257
1,apart,1,2,0.010099370469446286
1,apparel,2,1,0.035478498602726505
1,appear,1,2,0.010099370469446286
1,appli,11,5,0.0
1,applic,12,4,0.029513899650351803
1,approach,4,4,0.009837966550117268
1,appropri,3,3,0.01689098352816453
1,approv,2,2,0.02019874093889257
1,approxim,2,2,0.02019874093889257
1,april,1,2,0.010099370469446286
1,architectur,1,2,0.010099370469446286
1,area,7,5,0.0
1,around,6,2,0.06059622281667771
1,art,2,1,0.035478498602726505
1,asia,1,2,0.010099370469446286
1,ask,3,3,0.01689098352816453
1,aspect,5,2,0.050496852347231426
1,assess,6,3,0.03378196705632906
1,asset,1,3,0.00563032784272151
1,assist,4,3,0.02252131137088604
1,associ,9,4,0.02213542473776385
1,assur,3,3,0.01689098352816453
1,attach,1,2,0.010099370469446286
1,attempt,1,2,0.010099370469446286
1,attend,1,2,0.010099370469446286
1,attent,1,2,0.010099370469446286
1,audienc,1,2,0.010099370469446286
1,audit,15,4,0.036892374562939756
1,auditor,1,3,0.00563032784272151
1,author,3,3,0.01689098352816453
1,automobil,2,1,0.035478498602726505
1,automot,1,2,0.010099370469446286
1,avail,10,4,0.024594916375293166
1,avoid,3,2,0.030298111408338855
1,awar,5,4,0.012297458187646583
1,award,3,3,0.01689098352816453
1,back,2,5,0.0
1,balanc,2,2,0.02019874093889257
1,ban,1,2,0.010099370469446286
1,bar,1,2,0.010099370469446286
1,bargain,1,2,0.010099370469446286
1,base,10,3,0.056303278427215095
1,basi,3,2,0.030298111408338855
1,basic,3,2,0.030298111408338855
1,bear,1,2,0.010099370469446286
1,becom,4,2,0.04039748187778514
1,began,2,1,0.035478498602726505
1,begin,3,3,0.01689098352816453
1,behalf,2,3,0.01126065568544302
1,behavior,5,2,0.050496852347231426
1,believ,9,4,0.02213542473776385
1,benefit,6,3,0.03378196705632906
1,best,8,4,0.019675933100234536
1,better,8,2,0.08079496375557028
1,beverag,2,1,0.035478498602726505
1,beyond,2,2,0.02019874093889257
1,billion,4,1,0.07095699720545301
1,bind,1,2,0.010099370469446286
1,bio,1,2,0.010099370469446286
1,biographi,2,1,0.035478498602726505
1,board,2,2,0.02019874093889257
1,bodi,1,2,0.010099370469446286
1,bond,3,4,0.007378474912587951
1,born,1,2,0.010099370469446286
1,brand,6,3,0.03378196705632906
1,breach,2,2,0.02019874093889257
1,briberi,1,2,0.010099370469446286
1,bring,3,2,0.030298111408338855
1,broad,3,1,0.05321774790408976
1,browser,1,2,0.010099370469446286
1,bui,4,4,0.009837966550117268
1,build,5,2,0.050496852347231426
1,built,1,2,0.010099370469446286
1,busi,20,5,0.0
1,button,1,3,0.00563032784272151
1,buyer,2,2,0.02019874093889257
